Keyword,TF-IDF_Score
ai,0.1064462571780295
requires,0.053509704288480536
intelligence,0.043085111334139774
data,0.042985811235691444
secretary,0.03795836929150815
research,0.03682605072051183
systems,0.036263084737559216
artificial,0.03520366930376844
artificial intelligence,0.03461541065991004
use,0.034420132126625556
defense,0.034418760463906656
program,0.03405174098010649
technologies,0.03405162022163044
including,0.03296613827098384
mandates,0.03282715575090838
security,0.03150963451458062
technology,0.03133854129825568
national,0.030494229899455074
development,0.029757535764610307
establishes,0.0290463657174673
